community,country,text,labels
disabled,hk,"The requirements to qualify for VAT exemption are extensive . Not only must 25 percent of a company 's workforce be disabled , but the company must also have a minimum of ten disabled employees . In practice , this means that the exemption is only available to larger companies . If the workforce of a small startup with 16 staff were 50 percent disabled , for example , they would still be ineligible for the VAT exemption .",0
women,au,"With so many local players sprinkled through the invitational sides , Cowra entered only their women 's team in the Tens , but the Eagles ' two Central West representatives Chris Miller and Tom Dewhurst played starring roles for Greylands .",0
poor-families,au,Just over 80 per cent of NSW children are enrolled for 600 hours ' preschool in the year before kindergarten . Enrolments are 10 percentage points lower for children from poor families .,0
disabled,hk,"The former head of a care home for the mentally disabled , accused of sexual assault three decades ago , appeared at the Eastern Magistrates ' Courts today . Cheung Kin-wah , former superintendent of the privately run Bridge of Rehabilitation , was charged with five counts of indecent assault today . No plea was entered today and the case was adjourned until December 29 . The defendant was granted ...",0
women,gh,"Wikipedia explains feminism as a range of political movements , ideologies and social movements that share a common goal : to define , establish and achieve political , economic , personal and professional opportunities for women that are equal to those for men .",0
in-need,nz,"""The attraction between Mo and Kate stewed like a slow-cooked casserole , quietly and in need of extra seasoning . Kate kissed Mo , but Mo was all """" my wife 's in prison , my girlfriend was a murderer , I need some me time , wah , wah , wah . """"""",0
hopeless,gb,"So let us continue on that road , oppose Tory heartlessness and make sure our streets are n't populated by the hopeless , the helpless and the tragically addicted . <h> Value our free and unique service ?",1
poor-families,za,He also gave out food to poor families selected by the local social development office .,1
homeless,ng,"Let us not even talk about convoy killings ( since big men , including non-public officials , are driven as if they own the roads ) or fire accidents like the one which recently claimed a family of five in Lagos without any help from neighbours . Now , one of the numerous other deaths that are peculiarly Nigerian is currently unfolding before our very eyes . In the last two weeks , from Delta to Anambra , Zamfara and Sokoto , flood has killed more than 60 persons , washed away hundreds of farmlands and houses while rendering thousands of people homeless . Was this tragedy preventable ? Of course it is , since it is a perennial issue .",0
migrant,ph,The United States has been urging governments in the region to cooperate on search and rescue operations and sheltering thousands of vulnerable migrants .,0
hopeless,pk,"Satisfaction lies in permitting others to live , not living others ' lives . Never try to clutch someone else ' share , always reproduce your own complexion and gore . People swallowed helpless and hopeless but still sobbed due to plea of their conscience . I have grasped and wiped those tears who were the reason of their own cause .",0
homeless,ca,"The man in the video told CBC Toronto that he has been homeless for several years . Several people can be seen walking by him during the confrontation , but none try to stop it .",0
immigrant,my,"On the illegal immigrants who landed in Langkawi last Sunday , he said they had been sent to the Immigration Depot in Belantik on mainland Kedah .",0
refugee,tz,"He said the presence of over 212 , 000 refugees in the country was calling for concern , citing fears that the situation may worsen given the average of 250 refugees entering the country on daily basis .",0
immigrant,in,"""In February 2015 , five of the men , aged 23 to 25 at the time , went to the station to protest the """" arbitrary and violent """" arrest of one of their friends from the Cova da Moura neighbourhood , known for its large population of immigrants from Cape Verde , a former Portuguese colony off Africa 's northwest coast .""",0
in-need,tz,"""To what extent is the group of striking doctors abiding by their professional duties , norms and ethics ? Undoubtedly , professionalism has been compromised . It has virtually vanished in the battle between somewhat the """" politicized """" self-interests ( of some doctors ) and government but at the unprecedented suffering of the innocent public particularly the sick and those in need of the doctors ' attention and care .""",0
women,hk,"Jihadists are being blamed for the killing of dozens of Tuaregs , including women and children , on Mali 's northeastern border with Niger even as the second such attack in two days stoked fears of widespread unrest.Former Tuareg rebels and tribal leaders said two massacres near the town of Anderamboukane by gunmen on motorbikes left 12 people dead and taken the number of dead to 43 deaths in two day ...",0
refugee,ng,"""UN Secretary-General Antonio Guterres has called on US President Donald Trump to """" remove sooner than later """" the travel ban imposed on refugees and immigrants from seven countries .""",0
poor-families,pk,"All the youths are from poor families , working there as plumbers , electricians , masons and carpenters .",0
disabled,ng,"By learning a skill , and then passing it on to others , Otoyo is not only changing the narrative around disabled people , his work of knitting has also helped him to overcome the trauma of a decade spent fighting under one of the world 's most brutal rebel groups .",1
refugee,au,"The incidents deepened public doubts about Chancellor Angela Merkel 's decision to open Germany 's doors to refugees and migrants , whose numbers reached 1.1 million last year .",0
vulnerable,sg,"The relatively open Australian economy is heavily reliant on free trade flows , especially of commodities , and would be highly vulnerable should a full-blown tariff war ensued .",0
migrant,gb,"And , just as India was reshaped by these waves of migrants , the samosa also underwent a transformation .",0
poor-families,ca,"How long must families who lost loved ones in Bangladesh 's catastrophic factory disaster wait for compensation ? The shoddily-built Rana Plaza in Dhaka collapsed on April 24 , killing or injuring most of its 4,000 workers in a tragedy that stirred international sympathy and outrage . Yet five months on most of the poor families involved are getting nothing like the help they should , adding insult to tragedy .",0
homeless,gb,Meanwhile a member of staff at Harlow College recently appealed for bedding after a student found himself homeless .,0
vulnerable,ca,"The collapse of oil prices has had a far more profound impact on Canada 's economy than many other industrialized countries because the oil industry is responsible for generating roughly 5% of Canada 's total GDP . With this in mind , weak oil prices will not only affect energy companies , but also have a broader impact on Canada 's economy , and banks are becoming increasingly vulnerable .",0
migrant,za,"The migrants in Maula tell me they were all driven by desperation to survive and search for work opportunities . These men are all detained on charges of illegal entry in Malawi , and most have been sentenced to three months ' detention . But the reality is that they have been locked away for far longer .",0
women,za,"Farouk Sarhan , the 74-year-old manager of a shop selling women 's clothes , said sales were already down by almost 50 percent from just a few weeks ago .",0
immigrant,nz,Immigration -- you would like to put on the handbrake for the number of immigrants who are coming to this country . You 're all in agreement ?,0
immigrant,us,"In an early test of support for the comprehensive immigration bill , the Senate on Thursday voted down a Republican attempt to require the U.S.-Mexico border to be under control for six months before immigrants here illegally could take the first steps toward citizenship .",0
in-need,ng,"Jimi is loved by Lagosians ; only Jimi can give the National PDP a new lease of life , PDP as a political party is in need of a man without political , sociological and character baggage . PDP needsJimi Agbaje as national chairman .",0
refugee,ph,""""""" It is wrong to put human rights and migration in the same pot , """" said Ahmad , reacting to issues of opening the borders of the United Kingdom to refugees from Syria .""",0
poor-families,jm,- Coordinate with the private sector to donate skimmed milk powder and diapers to the newborn babies of poor families .,1
vulnerable,ph,"In the government 's campaign against illegal drugs , the poor , whose lack of resources and access to basic social services makes them more vulnerable to exploitation via the illegal drug trade , are mostly the target of summary executions . Meanwhile , the wealthy few enjoy the benefit of due process . Far from being the protector of the Filipino people , the police imposes order on the masses to protect the economic interests of the ruling class .",0
women,ng,"NAN also reports that the initiative provides nutritional programme for pregnant women and the Get Involved initiative , which raised half a million dollars in essential nutritional materials for malnourished children , including those in IDP camps .",0
in-need,tz,""""""" It 's wonderful for one to use part of one 's achievements to help God 's people . You will not be remembered by how much your bank account or business was a success but for your contributions and support to others in needy situation , """" explained the IPP Executive Chairman .""",1
disabled,nz,"Mr Lepofsky said by making access for disabled people commonplace , New Zealand could tap into the disability tourist market .",0
migrant,lk,"""The Dutch had their election last Wednesday in which the anti-immigrant , anti-Muslim extremist party -- the Freedom Party ( PVV ) - came out a distant second winning 20 seats in the 150-seat parliament . Its leader Geert Wilders ran on a """" de-Islamification """" platform , calling for Islamic schools to be closed and the Qur'an and burqa to be banned .""",0
poor-families,in,The panchayat has set the target of adopting and sponsoring the education of more than 10 girls from poor families in the village this year . Sheetal was shortlisted with the help of the teachers of the primary schools in Nargol out of the three girls in the first phase .,0
immigrant,ng,"A case in point is an illegal immigrant who hails from Ondo State ( name withheld ) , who was persuaded by a friend into going abroad to seek for fortune and to make it big . He sold his family 's cocoa plantation to pursue his dream of striking it rich in a foreign land .",0
poor-families,sg,"The fact that the news broke in a vernacular paper in a positive manner , that itself was a very shocking thing . Secondly , as you and I know , homosexuality can exist anywhere . It can be in poor families , rich families , royal families ...",0
refugee,lk,"Mr Chegeni Najad was granted refugee status in Australia after fleeing persecution in Afghanistan , but was convicted of assaulting a fellow detainee at the Curtin immigration detention centre in WA in 2011.",0
hopeless,au,"I love it . It is so hopeless it will fit in well with the rubbish already there.PSThe drotts who design these spaces never consider transport or linking , From a visitors point of view how do you get from docklands/arts centre/The G/ Carlton .",0
homeless,ng,Santa Monica police arrested 47-year-old Ramon Escobar Monday on suspicion of bludgeoning a homeless man . It 's unclear if he has a lawyer .,0
poor-families,gb,"RE Medical insurance is another pillar of Rwanda 's health strategy for universal health coverage . The aim is to reduce out of pocket expenditure which can have a catastrophic effect on poor families like Chantal 's . A community based scheme has been rolled out nationwide and according to the minister of health by June 2012 over 90% of the population had been enrolled with another 7% covered by civil service , military or private insurance plans .",0
disabled,gh,"She said since 2014 , a total of 8000 intellectually disabled people in Ghana had been offered special training to enhance their integration into society .",0
hopeless,lk,"Similarly driving in Colombo is frustrating and time wasting though one has got caught to bigger traffic jams overseas . The son is a miserable case as he could not get the expected grades at A/Ls despite spending so much on his education , branded clothes and outings with friends . The country is rotten because today 's papers reported two murders and a daylight robbery . What is this country coming to ? As gloom hovers over every aspect of one 's life , life itself is nothing but ' absolutely hopeless ' .",0
homeless,ng,"""Finally , I still can not style my hair I can not do a twist to save my life . I also can not pack a high puff , I can not do an updo or tie a turban . My go to look when I 'm not protective styling ( a.k.a saved by my stylist ) is called my """" earthy , Nubian queen , homeless chic """" look ... which is basically fluffing the hair out until I look like a small lion .""",0
disabled,in,"The Apex Court on 2nd April , 2016 was faced with a peculiar yetunique case , when an SLP was filed by a mother on behalf of her mentally disabled child . The factual matrix in brief was the rape of her daughter who had a functional age of 8-9 despite being 38 years of age . The mother prayed before the Supreme Court that due to the functional age of her daughter being less than 18 years , the case should be tried under the Protection of Children from Sexual Activities Act ( The act dealing with sexual offences against children ) . The Court , by granting the Special Leave has accepted to answer the question on the meaning of age under the POCSO Act , i.e. whether it stands for functional age or chronological age .",0
hopeless,ng,"It was gathered that most of them are dying of misery and hopelessness , having retired from active service.The upper chamber , therefore , directed its Committee on Judiciary , Human Rights and Legal Matters to review the laws impeding the harmonisation of the processes and prompt payment of retirement benefits of all judicial officers in the country .",1
vulnerable,ca,""""""" Yesterday I was saddened by the allegations against my former manager , Vincent Cirrincione , but today I 'm sick after reading the horrifying detailed accounts of his abuse towards 9 women , """" her post read . """" I 'm lived that he used me , and the role model he helped me become , to lure and manipulate innocent , vulnerable women of color for his predatory actions . """"""",0
migrant,gh,"Among the challenges , he mentioned accommodation where illegal Ghanaian immigrants in Saudi Arabia invaded the hotel rooms and camps meant for pilgrims who had travelled through the Board for the Hajj .",0
immigrant,ie,"Anger as Trump ends amnesty for 800,000 young immigrants",0
vulnerable,au,"The proposed GP co-payments would hit vulnerable groups the hardest , and increase pressure on hospitals . GPs act as gatekeepers to more expensive care and treating early can stop the development of more serious conditions .",0
migrant,au,From refugee to runway : How migrants are transforming Australian small business <h> By Cara Waters,0
refugee,au,"A civil war that has killed 250,000 people over five years and forced millions of others to flee their homes has confronted Europe with the rising threat of terrorism as well as a growing migrant crisis . Turkey , a candidate to join the European Union , is home to the largest Syrian refugee population , and the EU has offered a ? 3 billion ( $4.6 billion ) aid package to encourage Turkey to keep refugees from heading west .",0
women,pk,"The vehicle plunged into a deep ditch , killing two children instantly and critically injuring six others , including women . The wounded persons were referred to a major hospital in Peshawar for treatment .",0
disabled,ie,"""Paul Smith , CAA consumers and markets director , said : """" We 're pleased surveys show satisfaction levels remain high and the vast majority of passengers ' journeys go smoothly . The improved performance of many airports means disabled passengers should have even more confidence to travel from UK airports .""",0
disabled,gh,"""There are an estimated one billion disabled people in the world out of total population of 7 billion , i.e. 1 out every 7 people are disabled . The UN has described PWDs as """" the World 's Largest Minority """" .""",0
women,my,"Chhaupadi was banned a decade ago , but new legislation currently before parliament will criminalise the practice , making it an imprisonable offence to force a women to follow the ritual .",0
hopeless,sg,""""""" The situation is difficult but not hopeless . """"""",0
migrant,jm,"The numbers of the dead are expected to go up , as rescuers search by sea and air for at least 40 more migrants pitched overboard early Saturday when a crowded smuggler 's boat capsized . Dozens of people plunged into the water , grabbing at anything that might help keep them afloat .",1
vulnerable,tz,"As a result , most of people with disabilities remain vulnerable and unable to sustain themselves , a situation that makes them poor and they raise a poor family . This creates a vicious cycle of poverty as we end up with a society in which people with disabilities are mistreated . Read on ...",1
migrant,jm,"Agriculture has much room for expansion , but only on a high-technology basis which , if pursued , could be a winner . Remittances have steady but not dramatic growth prospects . Indeed , better prospects exist , but only with the expansion of higher education to provide for future migrants and greater remittance prospects .",0
women,tz,The deputy minister insisted that expectant women should always attend health facilities to check their status and take necessary measures to protect the unborn baby .,0
immigrant,au,"Trump has called for a 45 per cent tariff on Chinese goods , the building of a wall across the southern border and deporting of 10 to 11 million immigrants living in the country illegally - policies that many experts agree would be difficult to implement and disastrous for the American economy .",0
homeless,za,"The drop-in centres and shelters will be the first funded by the city , according to Raymond Perrier , director of the Denis Hurley Centre , which does extensive work with homeless people .",0
migrant,nz,"Unlike past years , the annual report published by the UN Sustainable Development Solutions Network also evaluated 117 countries by the happiness and well-being of their immigrants .",0
poor-families,hk,"According to a report released Tuesday by Oxfam Hong Kong , the number of working poor families in the city has risen more than 10 percent to nearly 190,000 in 2014 from 171,000 in 2010 , translating to a poor population of 640,000 , Ming Pao Daily reported .",0
hopeless,sg,"Even though I was so tired most days , I was n't able to sleep properly , often waking up in the wee hours of the morning . How I felt added to my fatigue , frustration , hopelessness , guilt and feelings of worthlessness .",0
in-need,ph,"Now , we segue to the living . How many of us miss the rare opportunity of showing how much we love them when friends or relatives are sick and ailing and would be much more in need of our comforting presence ?",0
homeless,sg,"""According to Kofron , this technology is already fully operational . It is tested on the most easy """" targets """" -- the homeless , the poor and those who have little relatives and friends . In these experiments involved Federal agencies , States , intelligence services , private security services , a number of large American corporations , police and some city social services .""",0
homeless,in,"Many middle-class Indians can relate to the sentiment that drove Sonali Shetty , the Dehradun-based writer who recently filed a case against a Delhi restaurant for refusing to serve homeless children . Many of us are pricked by the contrast between our own easy spending and the widespread deprivation around us , but have no idea how to help .",0
disabled,ke,""""""" The national and county governments must work together to improve the lives of the disabled , """" said Pratt .""",0
disabled,za,"W24 : Finally , what advice do you have for other disabled brides who are perhaps feeling self-conscious about their disability ?",0
hopeless,gh,The suspended miners say their situation is hopeless,0
women,sg,The conclusion was that it was unconstitutional to prevent physicians from providing abortions as a health service to women .,0
vulnerable,ke,"Cranes are also vulnerable to human population growth , drainage of swamps and other activities causing dwindling wetland habitats used as breeding sites .",0
refugee,jm,"""Jerry Blackburn , a 67-year-old retired county building official from rural Tazewell , Virginia , voted for Trump and supports his calls for cracking down on sanctuary cities and refugees coming to the US . Blackburn , a Republican , said illegal immigration """" has diluted our workforce and is a heavy burden to our people """" .""",0
immigrant,nz,A ring of illegal immigrants used rental homes in Waikato to grow large quantities of commercial-grade cannabis .,0
women,ca,"The society , which advocates for women in the justice system , had requested standing at the coroner 's inquest into the death of Kinew James , who died on Jan. 20 , 2013 . Standing at the inquest would allow the society to present evidence , cross-examine witnesses and recommend ways to prevent such deaths in the future .",0
immigrant,ie,"It manifestly is not correct though , and Irish community leaders should be among the first to say so . To live in New York is to be made aware of just how hard working and family orientated Mexican immigrants actually are .",0
in-need,ie,""""""" We are proud to host an artist like Kesha who shares our same passion and support for the LGBT community , """" adds Rick Mazer , president of Harrah 's Resort Atlantic City . """" It 's important that we join forces in times of tragedy to offer help to those in need . """"""",0
homeless,ke,"According to the Kenya Red Cross , three people died as a result of floods in Meru , Laikipia and Nyeri counties , while about 160 families in Nyeri and Kirinyaga counties had been left homeless after floods swept away their houses .",0
hopeless,pk,""""""" I do n't see it as pressure in terms of , if I do n't win on Sunday , I know they 're not all going to leave the track and say I 'm hopeless and never come back .""",0
poor-families,za,""""""" The Woodstock Hub 's directors now know that they can not follow through with their plans to evict poor families onto the street . Saturday 's occupation showed that Bromwell has the power and support to stop some of Cape Town 's biggest developers in their tracks . This sets a precedent for all poor people wanting to remain and find homes close to the inner city . They can fight back . """"""",0
homeless,sg,"She has turned her modest home into a safe haven for the vulnerable , especially the elderly who find themselves homeless and living on the streets .",0
hopeless,pk,"But just as a sense of hopelessness about racial equality on television has historical precedents , so do strategic efforts to make changes . And , as Susan L. Mizruchi 's terrific 2015 study of Marlon Brando suggests , there are lessons for socially-conscious actors in the legacy and negotiating style of one of their greatest colleagues .",0
vulnerable,in,"Such dexterous decisions and handling of vulnerable situations make him a silent ground worker who wants to take Maharashtra to another level . With his visionary approach , we hope he will change state 's political scenario and make it a hub of industrial and entrepreneurial revolution .",0
disabled,ca,"As of last week , several categories of inmate are no longer admissible to segregation cells : those who are seriously mentally ill , imminently suicidal , self-harming , physically disabled , terminally ill or pregnant .",0
hopeless,ng,"They discounted and denied every conceivable poll which showed Jonathan losing the election , preaching that Nigerians wanted continuity , not the change the opposition advocated . The people of Nigeria were portrayed as somehow loving their poverty and insecurity , their darkness and weakness , hopelessness and joblessness .",1
poor-families,ie,"This April , bread sales were on the up for the first time in three years after slumping under the popularity of carb-free and gluten-free diet trends . With poor families growing poorer , some could be relying more on filling foods like bread . It 's also worth noting that the additives in cheap loaves derided by foodies keep the bread edible for longer .",0
disabled,lk,""""""" Present government is dedicated in solving the problems of disabled soldiers . But , misusing the freedom prevailing under the present government is a matter of concern , """" the State Minister said .""",1
homeless,sg,"San Francisco receives about $1.2 billion a year in federal funding for services that include housing , health and social services , and homelessness .",0
in-need,gh,"However , rather than seeing this potential threat to national security , the ruling government and its apparatchiks are engaging in needless provocation , which only reveals signs of a government that is jittery about the outcome of the November 7 , 2016 election , and wants to make political capital out of routine occurrences .",0
disabled,pk,"Although Pakistan ratified UN Convention on Rights of Persons with Disabilities in 2011 , steps have not been taken to eradicate attitudinal , social and environmental barriers that persons with disabilities have to face on daily basis . This can be gauged from the fact that there is no disability law in place to promote and protect rights of the disabled in the country , Zahid said .",0
women,za,"Sophie Ndaba has successfully been in the entertainment industry for more than two decades and there is no stopping her hustle . We first met the beauty when she bagged the role of Queen on Generations and over the years , she has managed to solidify herself as one of the most popular women on television .",0
immigrant,bd,"""The new plan could also be helpful for students from India , as Jain pointed out , """" With the higher number of economic class immigrants coming in every year going forward , there will be room for the government to award higher points for Indian international students so that they can once again more smoothly transition to permanent residence . """"""",0
refugee,pk,"The chief minister said peace was essential in Afghanistan for bringing stability to the whole region . The provincial government , on the demand of traders had asked the federal government for repatriation of FC troops to the province , he said , adding that the Afghan ambassador was categorically informed to ensure registration of Afghan refugees in the province and there repatriation to Afghanistan . Khattak stated that dignified repatriation of the Afghan refugees was must for restoration of durable peace in the province .",0
women,my,"Many civil services and government departments including school authorities in Europe specifically ban Muslim women from wearing veils and burqa in their employment or even to appear in court or work as a teacher , as it is against their country 's secular laws .",0
migrant,ke,"PRETORIA South Africa ( Xinhua ) -- Policemen arrest activists during an anti-immigrant march in Pretoria , South Africa . Police arrested 136 people in Pretoria West over the past 24 hours , including during an anti-immigrant march in Pretoria , South African Police Service Acting National Commissioner Khomotso Phahlane said on Friday.XINHUA PHOTO - ZHAI JIANLAN",0
refugee,pk,"""Testimony from survivors suggests there were still many people below deck who were not able to escape , according to the UN refugee agency , while the Bettica captain estimated that """" some 100 """" may have been lost .""",0
vulnerable,hk,The survey found that 31.6 percent of primary pupils and 40.3 percent of secondary schoolchildren are considered vulnerable - scoring 11 or above out of 30 in the suicidal risk assessment .,0
refugee,tz,He said his committee was looking into the possibility of increasing the number of Burundi refugees being transported to the Kigoma refugee camp to ease pressure on the Kagunga camp .,0
women,ke,""""""" I 'm not proud of what happened over the weekend and I wish to extend my apology to women all over South Africa and the world . There are better ways to deal with disputes and disagreements . """"""",0
women,au,"Silverdale Secrets of an Asylum moves speedily through the workings of the institution with insights into the lives of the medical practitioners , other staff , and the men and women incarcerated at that time .",0
refugee,tz,""""""" Whenever an exercise of repatriation is conducted it normally involves the UN agency , the Tanzania government and the government of a country from which the refugees came , """" the statement read in part .""",0
vulnerable,us,The board found the failure of original steel from a 2012 emergency repair to the bottom of the tank was vulnerable to catastrophic failure because corrosion left it much thinner than the newer steel circle that was welded onto the bottom and the entire ring failed suddenly .,0
poor-families,gb,"Saskia rallied her friends and family to help and became involved with Philani Child Health and Nutrition Project , which builds better shacks for poor families . Together , they were able to give baby formula milk to the grandmother who is looking after the twins , clothes and prams but , most importantly , extend their tiny shack .",1
vulnerable,ph,"Companies with operations in the fast growing economies of Southeast Asia are among the most vulnerable in the world to computer hackers , where successful attacks could spell problems for millions of customers or cost millions of dollars in lost business .",0
disabled,za,News feed <h> Report abuse of disabled parking bay spaces,0
vulnerable,ng,"Meanwhile , 119 persons drawn from six of the 17 local government councils in the state has commenced a four-day training in Umuahia on community based targeting team and enumerators on identification and data capturing of poor and vulnerable households .",0
vulnerable,lk,"Fitch believes UB 's risk profile has improved following a shift towards loans to larger corporates from SMEs , which are more vulnerable in economic downturns , and better risk management . This could support better asset quality than in the past . There has been a sharp decline in UB 's reported gross NPL ratio to 4.87% at end-June 2015 from 8.25% at end-2014 . This figure excludes NPLs at its subsidiary UB Finance , which remained significant and accounted for 33.5% of the groups ' total NPLs at end-June 2015 .",0
vulnerable,ph,Nebran said that children are indeed more vulnerable to abuse .,0
vulnerable,lk,"""The importance of an assessment to evaluate the vulnerable ages and the serological extent of dengue transmission has also been highlighted in the epidemiology report , in attempts to recognize the state of the dengue burden . """" It is important that we have an understanding of the sero-prevalence of dengue in the country or at least in the high- risk areas like western province or in the Colombo district . In this back drop , a community based descriptive study of dengue sero-epidemiology in the Colombo district is being carried out by the epidemiology unit . Age-specific dengue sero-prevalence in the metropolitan , urban and rural populations in the Colombo district will be assessed in this study , """" the report states . The study will prove helpful as age-stratified sero-surveys are currently deemed as the best way to select populations suitable for vaccination . When this is directed at a sub national level , it will help guide vaccine decision making . The Epidemiology Report stated that this knowledge is acclaimed important for evidence based effective control and as preventive strategies for future introduction of the vaccine . The outcome of this study is said to be important in accurately sizing up the dengue dilemma and preventing it from wreaking havoc in the country . <h> Vaccine Technicality""",0
homeless,au,"Two reasons specified for the rise in homelessness are the diminishing availability of affordable rental properties , and growing numbers of women fleeing violence . With that in mind , we commend the Andrews government for meeting its commitment to fund a royal commission into family violence .",0
vulnerable,au,The initiative is the world 's largest wildlife survey and the results that members of the public submit are vital in helping conservationists target their efforts towards the vulnerable wildlife that is counting on us for its survival .,0
hopeless,ph,"During these stressful times , our country is enveloped with more shadows than light , more darkness of fear , doubts , hopelessness , and anxiety with the rising cases of extrajudicial killings , drug addictions , and acts of terrorism . People are living in darkness . There is an impending crisis in our country ... crisis of FAITH and a crisis of HOPE .",1
migrant,ke,"""The post reads in part : """" Samuel Eto'o spent millions of dollars , he boarded a flight for the whole Cameroonians migrants from Libya back to Cameroon who were stuck in Libya and were being tortured to death by the heartless serial killers . See the photos below . """" However , the Cameroon international can not be traced in any of the images shared in the blog .""",0
migrant,us,"A number of forces factor into the gentrification phenomenon -- a major influx of migrants in search of modestly priced housing and the American Dream , an ever-growing wealth divide among the city 's population , and statistically safer neighborhoods than ever before , to name a few . The top of the pile , however , is simply supply and demand .",0
vulnerable,my,"Every young person will one day have life-changing decisions to make about their sexual and reproductive health . Yet , the majority of adolescents lack essential knowledge required to make those decisions responsibly , leaving them vulnerable to coercion , sexually transmitted infections and unintended pregnancy .",0
poor-families,bd,""""""" The industry employs four million workers , 90 percent of whom are women from the poor families ... their employment has been an instrument for women empowerment as well as keeping our society liberal and progressive , """" she added .""",0
vulnerable,ke,"In my understanding , cervical cancer is caused by the human papilloma virus and the tissue of an uncircumcised organ is often vulnerable to infections that can easily transmit the virus . Men are also usually more vulnerable to contract the virus as a result of sexual intercourse . Many times uncircumcised men take their women through untold suffering due to their inability to maintain the required personal hygiene . Encourage him to go for voluntary circumcision or give him an ultimatum to improve his personal hygiene by bathing every day . Onyango Outha",0
women,tz,It is even more common for women to experience violence at the hands of their spouses . Even more alarming is that this type of violence against women is usually not talked about openly .,0
poor-families,us,"""Southeast Louisiana bucked national trends and became less poor than it was a decade ago , largely because of new investment due to rebuilding efforts and because of the post-Hurricane Katrina diaspora , which forced many of the city 's poor families to find housing outside the region , according to an analysis of U.S. census data released Thursday by the Greater New Orleans Community Data Center . Calling the post-Katrina exodus """" the largest population displacement since the Dust Bowl , """" the study noted that it """" changed the map of poverty """" in the 13-parish region considered southeast Louisiana . Between 1999 and 2010 , parishes that flooded after Katrina lost thousands of their poor residents : Orleans Parish lost 50,000 , St. Bernard lost 4,000 and Plaquemines lost nearly 2,400 .""",0
migrant,tz,He mentioned challenges facing the programme especially in relocating children include inadequacy of legal guardianship systems in many countries as well as the fact that unaccompanied migrant children are being detained countries .,0
poor-families,pk,"The minister said that Christmas is a time of celebrations , of closeness and of hope and to help and join the vulnerable and poor families in its celebrations promoting the brotherhood , religious harmony , compassion and tolerance .",1
